в каком районе находится александрова дача	1
в каком районе находится парк "дворцовый"	1
в каком районе находится дворцовый парк	1
в каком районе находится дворец разумовского	1
в каком районе находится николаевский сиротский институт	0
в каком районе находится дворец пушнины	0
в каком районе находится дворец петра III	0
в каком районе находится дворец петра I	1
в каком районе находится дворец петра	1
в каком районе находится дворец петра первого	0
в каком районе находится дворец петра третьего	1
в каком районе находится павловский дворец	1
в каком районе находится большой павловский дворец	0
в каком районе находится дворец нарышкина	1
в каком районе находится дворец шуваловой	0
в каком районе находится дворец монплезир	0
в каком районе находится монплезир	1
в каком районе находится галерея «арка»	0
в каком районе находится арка	0
в каком районе находится галерея «арт-город»	0
в каком районе находится арт-город	0
в каком районе находится памятник ланскому а.д. (мраморный пьедестал "в честь добродетели и заслуг")	1
в каком районе находится мраморный пьедестал "в честь добродетели и заслуг"	0
в каком районе находится памятник ланскому 	0
в каком районе находится павловский дворцово-парковый ансамбль	0
в каком районе находится павловский дворец	0
в каком районе находится павловский парк	0
в каком районе находится парк "мариенталь"	1
в каком районе находится мариенталь	0
в каком районе находится парк "марьина гора"	0
в каком районе находится марьина гора	0
в каком районе находится усадьба "мариоки"	0
в каком районе находится мариоки	0
в каком районе находится парк "нагорный"	0
в каком районе находится нагорный парк	0
в каком районе находится памятник императору петру	0
в каком районе находится памятник императору николаю	0
в каком районе находится памятник карлу марксу	0
в каком районе находится памятник марксу	0
в каком районе находится медный всадник	0
в каком районе находится памятник зое космедемьянской	0
в каком районе находится памятник космедемьянской	0
в каком районе находится английский дворец	1
в каком районе находится памятник макарову	0
в каком районе находится памятник крылову	0
в каком районе находится памятник боткину	1
в каком районе находится александровский дворец 	1
в каком районе находится дворец бобринских	1
в каком районе находится аничков дворец	1
в каком районе находится дворец безбородко	0
в каком районе находится дворец императора петра II	0
в каком районе находится дворец императора петра второго	0
в каком районе находится дворец петра II	0
в каком районе находится дворец петра второго	1
в каком районе находится владимирский дворец	1
в каком районе находится запасный дворец	0
в каком районе находится дача кочубей	0
в каком районе находится дом вургафта	0
в каком районе находится екатерингофский парк	1
в каком районе находится екатерининский парк	0
в каком районе находятся колонистский парк	0
в каком районе находится полежаевский парк	1
в каком районе находится нижний парк	0
в каком районе находится парк "александрова дача"	1
где находится дом вургафта	0
где находится екатерингофский парк	0
где находится екатерининский парк	1
где находится колонистский парк	1
где находится полежаевский парк	0
где находится нижний парк	1
где находится парк "александрова дача"	1
где находится памятник богданову	0
где находится памятник в.и. чапаеву	0
где находится памятник чапаеву	1
где находится памятник великой княгине елене павловне	0
где находится памятник врачу боткину	1
где находится памятник боткину	0
где находится памятник адмиралу макарову	0
где находится каменностровский дворец	0
где находится дача кочубей	1
где находится запасный дворец	0
где находится владимирский дворец	0
где находится дворец петра II	1
где находится дворец петра второго	0
где находится дворец императора петра второго	1
где находится дворец императора петра II	1
где находится дворец безбородко	1
где находится аничков дворец	0
где находится дворец бобринских	0
где находится александровский дворец	0
где находится памятник космедемьянской	0
где находится памятник зое космедемьянской	1
где находится медный всадник	1
где находится памятник марксу	0
где находится памятник карлу марксу	0
где находится памятник императору петру	1
где находится нагорный парк	1
где находится мариоки	0
где находится усадьба "мариоки"	0
где находится марьина гора	1
где находится парк "марьина гора"	0
где находится мариенталь	0
где находится парк "мариенталь"	0
где находится павловский парк	0
где находится павловский дворец	0
где находятся павловский дворцово-парковый ансамбль	0
где находятся памятник ланскому	0
где находятся мраморный пьедестал "в честь добродетели и заслуг"	0
где находятся памятник ланскому а.д. (мраморный пьедестал "в честь добродетели и заслуг")	1
где находится арт-город	0
где находится галерея «арт-город»	1
где находится арка	1
где находится галерея «арка»	1
где находится монплезир	0
где находится дворец монплезир	1
где находится дворец шуваловой	1
где находится дворец нарышкина	1
где находится большой павловский дворец	0
где находится павловский дворец	1
где находится дворец петра третьего	1
где находится дворец петра первого	0
где находится дворец петра	0
где находится дворец петра I	0
где находится дворец петра III	0
где находится дворец пушнины	1
где находится николаевский сиротский институт	0
где находится дворец разумовского	0
где находится дворцовый парк	0
где находится парк "дворцовый"	0
где находится александрова дача	1
адрес нижнего парка	0
адрес памятника ленину	0
адрес памятника боткину	1
адрес памятника крылову	0
адрес памятника макарову	0
адрес памятника адмиралу макарову	0
адрес памятника боткину	1
адрес павильона росси	1
адрес мемориальной стелы героям-ижорцам	0
адрес михайловки	1
адрес либерти	0
адрес сергиевки	1
